Community Area,Total_Crimes,Violent_Ratio,Night_Ratio,Arrest_Rate,CRS_Score,Risk_Level
1,12884,0.30099348028562556,0.45273207078547034,0.13699161751009004,40.08577079168808,Medium
2,11637,0.28366417461545074,0.4925668127524276,0.08954197817306866,45.24342430365012,Medium
3,12816,0.29580212234706615,0.45302746566791513,0.12148876404494383,40.281377996235335,Medium
4,6198,0.25492094223943207,0.47192642787996125,0.10261374636979671,32.66385145878624,Medium
5,4170,0.1947242206235012,0.4724220623501199,0.05083932853717026,26.92490309391486,Low
6,18985,0.21527521727679746,0.5169344219120359,0.08222280747958916,50.312179339140386,Medium
7,11636,0.16577861808181504,0.4543657614300447,0.0537985562048814,29.2699839516891,Low
8,32786,0.25385835417556274,0.47456231318245595,0.14786799243579576,59.734134460479005,Medium
9,863,0.20162224797219003,0.5156431054461182,0.07647740440324449,29.257006365408543,Low
10,3759,0.23915935089119447,0.48789571694599626,0.06996541633413142,32.38395450648692,Medium
11,3225,0.2626356589147287,0.5079069767441861,0.10232558139534884,35.61658987868829,Medium
12,1672,0.173444976076555,0.5017942583732058,0.05382775119617225,26.298783064177012,Low
13,2937,0.2975825672454886,0.438883214164113,0.08580183861082738,29.30658319004683,Low
14,7167,0.3140784149574438,0.48820985070461836,0.11190177201060415,41.72256360509297,Medium
15,9667,0.2726802524050895,0.5333609185890141,0.12827143891589946,46.21580224420377,Medium
16,8067,0.28300483451097064,0.49386388992190405,0.10214453948183959,40.867455564201734,Medium
17,4991,0.2686836305349629,0.5049088359046283,0.08294930875576037,38.6477468672391,Medium
18,2032,0.25984251968503935,0.48720472440944884,0.0797244094488189,32.02582204443492,Medium
19,13659,0.3421187495424262,0.5184127681382239,0.13222051394684822,55.19054139499079,Medium
20,4357,0.376635299518017,0.5099839338994722,0.13288960293780125,47.26264992856938,Medium
21,6565,0.2814927646610815,0.47128712871287126,0.09946686976389947,35.8212513912226,Medium
22,14602,0.24496644295302014,0.5073962470894398,0.1034104917134639,46.092676256473744,Medium
23,19958,0.37634031466078766,0.4649263453251829,0.23409159234392224,52.565838053715844,Medium
24,22989,0.2344599591108791,0.5006742355039366,0.07460089608073427,54.558213299558076,Medium
25,37560,0.4045527156549521,0.49347710330138445,0.16078274760383388,82.46124248449892,High
26,11566,0.43022652602455475,0.48339961957461525,0.2563548331315926,50.583430924759874,Medium
27,11789,0.4220883874798541,0.48434981762660106,0.16328781067096446,54.66241540564711,Medium
28,30528,0.27332285115303984,0.47955974842767296,0.09427410901467505,62.60353633814444,High
29,20147,0.4388742740854718,0.486921129696729,0.2051918399761751,63.82877265034992,High
30,12402,0.4546040961135301,0.5297532656023222,0.15803902596355426,65.69826002927124,High
31,8995,0.35608671484157867,0.5269594219010562,0.11361867704280156,53.71136360094596,Medium
32,25818,0.23471996281663957,0.4030908668370904,0.18308931753040514,37.766015902332576,Medium
33,7807,0.28897143589086716,0.49993595491225823,0.12796208530805686,40.84691000356055,Medium
34,3365,0.3667161961367013,0.5233283803863299,0.11946508172362556,47.826399267445055,Medium
35,8795,0.32541216600341105,0.4505969300739056,0.10233086981239341,39.47368023794428,Medium
36,2602,0.3305149884704074,0.5272867025365103,0.07340507302075326,46.14654292469696,Medium
37,2051,0.45099951243295955,0.5109702584105315,0.16918576304241834,50.691322468873004,Medium
38,11003,0.3486321912205762,0.48668544942288466,0.09960919749159321,49.78387573712356,Medium
39,5913,0.300016911889058,0.471841704718417,0.0593607305936073,39.02430017121296,Medium
40,7241,0.41624085071122774,0.5003452561800856,0.10827233807485154,54.18155897352619,Medium
41,6934,0.24415921546005193,0.4336602249783675,0.0504759157773291,29.16682389331493,Low
42,10676,0.38844136380666916,0.48979018358935933,0.11034095166729112,53.417370935888066,Medium
43,25414,0.39741874557330603,0.4793814432989691,0.09821358306445266,69.42248426120469,High
44,18177,0.3884029267755955,0.4800022005831545,0.11299994498542114,59.992738634450795,Medium
45,3458,0.35887796414112205,0.4777327935222672,0.078368999421631,42.290228120252785,Medium
46,12603,0.40895024994049034,0.47591843211933665,0.0983892723954614,56.10248147788172,Medium
47,969,0.3539731682146543,0.48297213622291024,0.08875128998968008,39.36010019195807,Medium
48,4178,0.3427477261847774,0.5014360938247966,0.07826711345141216,44.99506965722085,Medium
49,17539,0.3889047266092708,0.503506471292548,0.13729403044643365,61.69278095071602,High
50,3147,0.3574833174451859,0.4544010168414363,0.17127422942484907,33.798265119919726,Medium
51,5681,0.3499383911283225,0.4951593029396233,0.09839816933638444,45.445085387349565,Medium
52,3905,0.3672215108834827,0.532394366197183,0.09167733674775928,51.17552302140383,Medium
53,10614,0.3811946485773507,0.5048991897493876,0.13227812323346524,53.81341135068555,Medium
54,3716,0.4609795479009688,0.5056512378902045,0.08934337997847147,56.60094353658462,Medium
55,2177,0.3082223242994947,0.4818557648139642,0.07533302710151585,36.5117217583232,Medium
56,6577,0.2481374486848107,0.5158887030561046,0.12741371445948,37.7751850420891,Medium
57,3117,0.314725697786333,0.47802374077638754,0.09207571382739814,36.80939283422917,Medium
58,6606,0.41659097789887983,0.5258855585831063,0.09839539812291856,57.834525720759245,Medium
59,2844,0.33860759493670883,0.47538677918424754,0.1079465541490858,37.77253791632046,Medium
60,4778,0.3034742570113018,0.5156969443281708,0.08978652155713687,43.2367860687884,Medium
61,12254,0.4540558185082422,0.5037538762852946,0.14672759915129754,62.13200621232448,High
62,2969,0.32502526103065005,0.5267766924890536,0.0956551027281913,44.831467962004204,Medium
63,6770,0.3998522895125554,0.5220088626292467,0.1172821270310192,54.813520840189526,Medium
64,3318,0.27908378541289935,0.5364677516576251,0.06962025316455696,43.26080123830892,Medium
65,5411,0.2803548327481057,0.4989835520236555,0.09406763999260766,38.86309939893353,Medium
66,15301,0.4001699235344095,0.49663420691458077,0.13338997451146983,59.557303645623236,Medium
67,14106,0.43889125194952505,0.4939033035587693,0.1573089465475684,60.618527035651795,High
68,14961,0.4560524029142437,0.4838580308802887,0.14704899405119978,62.2865472157993,High
69,19098,0.4206199602052571,0.49560163367891924,0.12619122421195936,65.96913480569958,High
70,6786,0.3178603006189213,0.4938107869142352,0.0645446507515473,44.83171508284695,Medium
71,19632,0.3960880195599022,0.49719845150774244,0.11491442542787286,64.84530701834915,High
72,2777,0.23118473172488296,0.4688512783579402,0.0878646020885848,26.778004524206477,Low
73,9170,0.32944383860414395,0.4812431842966194,0.11275899672846237,44.38107415530846,Medium
74,1616,0.2685643564356436,0.4876237623762376,0.1051980198019802,31.28426659315889,Medium
75,5697,0.3307003686150606,0.46076882569773564,0.12989292610145692,36.820790057836554,Medium
76,5117,0.21223373070158297,0.4127418409224155,0.20676177447723276,13.213943775649012,Low
77,9704,0.26762159934047813,0.44589859851607583,0.10397774113767519,33.806978517464415,Medium
